Date/Time,node,lat,lon,fill_level
2020-01-01 09:04:49,Node 9,31.541323,74.251488,Empty
2020-01-04 21:02:09,Node 4,31.530285,74.390065,Overflowing
2020-01-02 22:12:06,Node 4,31.530285,74.390065,Overflowing
2020-01-01 04:20:54,Node 6,31.432421,74.37853,Normal
2020-01-01 19:56:19,Node 7,31.462726,74.214801,Full
2020-01-04 17:54:29,Node 4,31.530285,74.390065,Empty
2020-01-03 10:16:46,Node 0,31.47043,74.271212,Full
2020-01-02 16:09:16,Node 6,31.432421,74.37853,Overflowing
2020-01-03 04:25:09,Node 6,31.432421,74.37853,Normal
2020-01-01 10:23:12,Node 1,31.390499,74.300994,Full
2020-01-03 14:54:59,Node 2,31.425765,74.254321,Normal
2020-01-04 16:02:47,Node 1,31.390499,74.300994,Normal
2020-01-03 18:59:00,Node 1,31.390499,74.300994,Overflowing
2020-01-03 12:52:22,Node 2,31.425765,74.254321,Empty
2020-01-01 16:28:43,Node 7,31.462726,74.214801,Overflowing
2020-01-04 23:04:47,Node 6,31.432421,74.37853,Normal
2020-01-04 22:30:13,Node 9,31.541323,74.251488,Normal
2020-01-03 20:11:21,Node 7,31.462726,74.214801,Full
2020-01-01 07:59:17,Node 4,31.530285,74.390065,Empty
2020-01-04 13:41:58,Node 1,31.390499,74.300994,Full
2020-01-02 21:39:35,Node 1,31.390499,74.300994,Empty
2020-01-04 16:07:53,Node 4,31.530285,74.390065,Full
2020-01-01 07:51:13,Node 8,31.530905,74.339651,Full
2020-01-04 03:33:30,Node 7,31.462726,74.214801,Full
2020-01-04 12:40:52,Node 0,31.47043,74.271212,Normal
2020-01-03 01:28:39,Node 2,31.425765,74.254321,Overflowing
2020-01-01 03:02:32,Node 7,31.462726,74.214801,Normal
2020-01-03 06:06:36,Node 2,31.425765,74.254321,Normal
2020-01-03 13:45:15,Node 2,31.425765,74.254321,Full
2020-01-04 22:33:27,Node 1,31.390499,74.300994,Empty
2020-01-01 00:35:03,Node 6,31.432421,74.37853,Overflowing
2020-01-03 21:58:12,Node 0,31.47043,74.271212,Full
2020-01-03 09:47:28,Node 7,31.462726,74.214801,Full
2020-01-02 10:20:59,Node 8,31.530905,74.339651,Normal
2020-01-02 03:01:58,Node 0,31.47043,74.271212,Full
2020-01-04 03:03:49,Node 3,31.417459,74.315264,Full
2020-01-02 15:53:43,Node 3,31.417459,74.315264,Normal
